Vehicle_ID,Speed,Position,Cluster
veh1.3,14.906264544528373,"(155.15137545708936, -1.6)",3
veh1.4,5.523392739193515,"(15.617028514062987, -1.6)",2
veh1.1,12.17270538745102,"(392.08090522078885, -1.6)",4
veh1.2,13.01905556372916,"(285.71416726827727, -1.6)",0
veh1.3,14.672679536830096,"(169.82405499391945, -1.6)",3
veh1.4,7.1975103052333,"(22.81453881929629, -1.6)",2
veh1.1,12.871481884467682,"(404.95238710525655, -1.6)",1
veh1.2,13.107098370307028,"(298.8212656385843, -1.6)",4
veh1.3,14.854745569935462,"(184.6788005638549, -1.6)",3
veh1.4,8.6509128886275,"(31.465451707923787, -1.6)",2
veh1.1,12.549974086378969,"(417.50236119163554, -1.6)",1
veh1.2,13.410327973222262,"(312.23159361180655, -1.6)",4
veh1.3,14.982875222357382,"(199.6616757862123, -1.6)",0
veh1.4,10.743052356969566,"(42.208504064893354, -1.6)",2
veh1.1,12.15513722075735,"(429.6574984123929, -1.6)",1
veh1.2,12.762679433548726,"(324.99427304535527, -1.6)",4
veh1.3,13.939114448934257,"(213.60079023514655, -1.6)",0
veh1.4,13.143421514495277,"(55.351925579388634, -1.6)",2
veh1.1,11.857314144411392,"(441.5148125568043, -1.6)",1
veh1.2,13.586433551442711,"(338.580706596798, -1.6)",4
veh1.3,14.175955521961136,"(227.77674575710768, -1.6)",0
veh1.4,13.750865627920314,"(69.10279120730895, -1.6)",2
veh1.1,12.267249102528474,"(453.7820616593328, -1.6)",1
veh1.2,13.673887820081688,"(352.2545944168797, -1.6)",4
veh1.3,14.544955879164322,"(242.321701636272, -1.6)",0
veh1.4,13.42587859260576,"(82.52866979991471, -1.6)",2
veh1.1,12.26257600703862,"(466.0446376663714, -1.6)",1
veh1.2,13.289017837360404,"(365.5436122542401, -1.6)",4
veh1.3,14.904508912487348,"(257.22621054875935, -1.6)",0
veh1.4,13.197452490918398,"(95.7261222908331, -1.6)",3
veh1.5,0.0,"(5.1, -1.6)",2
veh1.1,12.19960885863871,"(478.2442465250101, -1.6)",1
veh1.2,12.966927478956894,"(378.510539733197, -1.6)",4
veh1.3,13.810029174521029,"(271.0362397232804, -1.6)",0
veh1.4,13.596971013026373,"(109.32309330385948, -1.6)",3
veh1.5,2.5809868891024963,"(7.6809868891024955, -1.6)",2
veh1.1,11.757825858482429,"(490.00207238349253, -1.6)",1
veh1.2,12.880985609144808,"(391.3915253423418, -1.6)",4
veh1.3,14.410749641776478,"(285.4469893650569, -1.6)",0
veh1.4,13.136607794675104,"(122.45970109853458, -1.6)",3
veh1.5,4.9632315068738535,"(12.644218395976349, -1.6)",2
veh1.2,12.997014278481618,"(404.38853962082345, -1.6)",1
veh1.3,14.426876247924216,"(299.8738656129811, -1.6)",4
veh1.4,13.87046826479683,"(136.3301693633314, -1.6)",3
veh1.5,7.562119600689038,"(20.206337996665386, -1.6)",2
veh1.2,13.178141417802214,"(417.5666810386257, -1.6)",1
veh1.3,13.844030756962878,"(313.71789636994396, -1.6)",4
veh1.4,14.295814868413904,"(150.62598423174532, -1.6)",3
veh1.5,9.52978616375476,"(29.736124160420147, -1.6)",2
veh1.2,12.85246309019243,"(430.4191441288181, -1.6)",1
veh1.3,14.502830913214405,"(328.22072728315834, -1.6)",4
veh1.4,14.162336027880258,"(164.78832025962558, -1.6)",3
veh1.5,10.436504596280283,"(40.17262875670043, -1.6)",2
veh1.2,12.969202756281843,"(443.38834688509996, -1.6)",1
veh1.3,14.526736817945189,"(342.7474641011035, -1.6)",4
veh1.4,13.01520950633759,"(177.80352976596316, -1.6)",3
veh1.5,10.909511560475805,"(51.08214031717624, -1.6)",2
veh1.2,12.81733330831015,"(456.2056801934101, -1.6)",1
veh1.3,14.01900246352276,"(356.7664665646263, -1.6)",4
veh1.4,13.709228279490082,"(191.51275804545324, -1.6)",3
veh1.5,10.446413467865789,"(61.52855378504203, -1.6)",2
veh1.2,13.601679653772988,"(469.8073598471831, -1.6)",1
veh1.3,14.768490501254258,"(371.5349570658805, -1.6)",4
veh1.4,14.111631891924947,"(205.6243899373782, -1.6)",0
veh1.5,10.962699727801956,"(72.49125351284398, -1.6)",2
veh1.2,13.613902754248954,"(483.42126260143203, -1.6)",1
veh1.3,14.098163100628575,"(385.6331201665091, -1.6)",4
veh1.4,13.73300216405379,"(219.357392101432, -1.6)",0
veh1.5,11.06672626747226,"(83.55797978031624, -1.6)",2
veh1.2,12.992086901660912,"(496.41334950309295, -1.6)",1
veh1.3,14.83334822786825,"(400.4664683943774, -1.6)",1
veh1.4,13.557548385068833,"(232.91494048650083, -1.6)",0
veh1.5,11.374842798890896,"(94.93282257920714, -1.6)",3
veh1.6,0.0,"(5.1, -1.6)",2
veh1.3,14.8891842953101,"(415.3556526896875, -1.6)",1
veh1.4,14.183966978548153,"(247.09890746504897, -1.6)",0
veh1.5,11.249417150108494,"(106.18223972931564, -1.6)",3
veh1.6,2.303929259511642,"(7.403929259511642, -1.6)",2
veh1.3,14.784304990915974,"(430.13995768060346, -1.6)",1
veh1.4,13.115557995650043,"(260.214465460699, -1.6)",0
veh1.5,11.126100513589918,"(117.30834024290556, -1.6)",3
veh1.6,4.578275250410661,"(11.982204509922303, -1.6)",2
veh1.3,13.932249389047197,"(444.07220706965063, -1.6)",1
veh1.4,13.705406419585518,"(273.9198718802845, -1.6)",0
veh1.5,11.295508625143558,"(128.6038488680491, -1.6)",3
veh1.6,6.868331678421236,"(18.85053618834354, -1.6)",2
veh1.3,13.815330919081738,"(457.8875379887324, -1.6)",1
veh1.4,14.024172439591087,"(287.9440443198756, -1.6)",0
veh1.5,10.3497663939785,"(138.9536152620276, -1.6)",3
veh1.6,8.729162487573921,"(27.579698675917463, -1.6)",2
veh1.3,14.00733742990384,"(471.8948754186362, -1.6)",1
veh1.4,13.7866644990184,"(301.730708818894, -1.6)",4
veh1.5,11.433230101707744,"(150.38684536373535, -1.6)",3
veh1.6,10.58870646066498,"(38.16840513658244, -1.6)",2
veh1.3,14.993228543566932,"(486.88810396220316, -1.6)",1
veh1.4,13.33654206248658,"(315.0672508813806, -1.6)",4
veh1.5,10.579789734440276,"(160.96663509817563, -1.6)",3
veh1.6,12.322769262595102,"(50.491174399177545, -1.6)",2
veh1.4,13.718562872081122,"(328.7858137534617, -1.6)",4
veh1.5,11.53365497802792,"(172.50029007620356, -1.6)",3
veh1.6,13.761325776214305,"(64.25250017539184, -1.6)",2
veh1.4,14.200396569028555,"(342.98621032249025, -1.6)",4
veh1.5,10.983828807151296,"(183.48411888335485, -1.6)",3
veh1.6,13.495626067659412,"(77.74812624305126, -1.6)",2
veh1.4,13.350239078469633,"(356.3364494009599, -1.6)",4
veh1.5,10.75728445844201,"(194.24140334179685, -1.6)",0
veh1.6,14.278551833434555,"(92.02667807648581, -1.6)",3
veh1.4,13.034000920296704,"(369.3704503212566, -1.6)",4
veh1.5,11.030417969864212,"(205.27182131166106, -1.6)",0
veh1.6,14.383755211984331,"(106.41043328847014, -1.6)",3
veh1.7,0.0,"(5.1, -1.6)",2
veh1.4,13.624160634099564,"(382.99461095535617, -1.6)",4
veh1.5,11.528040636930966,"(216.79986194859202, -1.6)",0
veh1.6,13.77339230252948,"(120.18382559099962, -1.6)",3
veh1.7,2.30054953917861,"(7.400549539178609, -1.6)",2
veh1.4,13.601575555468036,"(396.5961865108242, -1.6)",4
veh1.5,10.31849678460916,"(227.11835873320118, -1.6)",0
veh1.6,13.350008936934698,"(133.53383452793432, -1.6)",3
veh1.7,4.612048391904682,"(12.012597931083292, -1.6)",2
veh1.4,13.120662312444358,"(409.7168488232686, -1.6)",1
veh1.5,11.242901233229205,"(238.3612599664304, -1.6)",0
veh1.6,14.28193249358848,"(147.8157670215228, -1.6)",3
veh1.7,6.761308496375569,"(18.77390642745886, -1.6)",2
veh1.4,13.967402431114635,"(423.68425125438324, -1.6)",1
veh1.5,10.962144303339883,"(249.32340426977026, -1.6)",0
veh1.6,14.133259389792162,"(161.94902641131495, -1.6)",3
veh1.7,8.371993940277026,"(27.145900367735887, -1.6)",2
veh1.4,13.234292339419074,"(436.9185435938023, -1.6)",1
veh1.5,11.140347535763286,"(260.46375180553355, -1.6)",0
veh1.6,13.307586742109212,"(175.25661315342415, -1.6)",3
veh1.7,10.496800471725876,"(37.64270083946176, -1.6)",2
veh1.4,14.293695845014474,"(451.2122394388168, -1.6)",1
veh1.5,11.267970244255268,"(271.7317220497888, -1.6)",0
veh1.6,13.77816398538236,"(189.0347771388065, -1.6)",3
veh1.7,12.242928351970502,"(49.88562919143226, -1.6)",2
veh1.4,14.269984110912366,"(465.4822235497292, -1.6)",1
veh1.5,11.502233498747811,"(283.2339555485366, -1.6)",0
veh1.6,13.33255903028004,"(202.36733616908654, -1.6)",0
veh1.7,12.044058940276615,"(61.92968813170887, -1.6)",2
veh1.4,13.865187923030057,"(479.3474114727593, -1.6)",1
veh1.5,11.17301626693865,"(294.40697181547523, -1.6)",0
veh1.6,14.474908630489896,"(216.84224479957643, -1.6)",0
veh1.7,11.27309666194126,"(73.20278479365012, -1.6)",2
veh1.4,13.60292221135652,"(492.95033368411583, -1.6)",1
veh1.5,10.78455076920276,"(305.191522584678, -1.6)",4
veh1.6,13.867312830393727,"(230.70955762997016, -1.6)",0
veh1.7,11.687463299623802,"(84.89024809327393, -1.6)",2
veh1.5,10.507750108437031,"(315.69927269311506, -1.6)",4
veh1.6,13.903621371961725,"(244.61317900193188, -1.6)",0
veh1.7,11.806164857415594,"(96.69641295068952, -1.6)",3
veh1.8,0.0,"(5.1, -1.6)",2
veh1.5,11.099395384261737,"(326.7986680773768, -1.6)",4
veh1.6,13.372207385357994,"(257.98538638728985, -1.6)",0
veh1.7,11.92509653572563,"(108.62150948641515, -1.6)",3
veh1.8,2.4003457264741885,"(7.500345726474189, -1.6)",2
veh1.5,11.262419575494134,"(338.0610876528709, -1.6)",4
veh1.6,14.11152360444941,"(272.09690999173927, -1.6)",0
veh1.7,11.4575834751093,"(120.07909296152445, -1.6)",3
veh1.8,4.686393877700903,"(12.186739604175092, -1.6)",2
veh1.5,10.250233963103383,"(348.3113216159743, -1.6)",4
veh1.6,13.364638407188991,"(285.46154839892824, -1.6)",0
veh1.7,11.454446630828194,"(131.53353959235264, -1.6)",3
veh1.8,7.223323677410372,"(19.410063281585465, -1.6)",2
veh1.5,10.351322275185376,"(358.6626438911597, -1.6)",4
veh1.6,13.565177725940536,"(299.0267261248688, -1.6)",4
veh1.7,12.292169104163646,"(143.82570869651627, -1.6)",3
veh1.8,9.359177304338663,"(28.76924058592413, -1.6)",2
veh1.5,10.348554675182678,"(369.0111985663424, -1.6)",4
veh1.6,13.519679367179576,"(312.54640549204834, -1.6)",4
veh1.7,11.344306502371207,"(155.17001519888748, -1.6)",3
veh1.8,10.921573016094044,"(39.690813602018174, -1.6)",2
veh1.5,11.508581812418416,"(380.5197803787608, -1.6)",4
veh1.6,13.776915313615987,"(326.3233208056643, -1.6)",4
veh1.7,11.697569342303202,"(166.8675845411907, -1.6)",3
veh1.8,12.51150252774195,"(52.20231612976012, -1.6)",2
veh1.5,11.30436797225324,"(391.82414835101406, -1.6)",4
veh1.6,13.838028587969545,"(340.1613493936338, -1.6)",4
veh1.7,11.210408058293275,"(178.07799259948396, -1.6)",3
veh1.8,12.182256709638288,"(64.3845728393984, -1.6)",2
veh1.5,10.33962163794262,"(402.1637699889567, -1.6)",1
veh1.6,14.213553826823423,"(354.37490322045727, -1.6)",4
veh1.7,11.141449049553946,"(189.21944164903792, -1.6)",3
veh1.8,12.369025074684297,"(76.75359791408269, -1.6)",2
veh1.5,11.01433668699523,"(413.17810667595194, -1.6)",1
veh1.6,14.13233496319555,"(368.5072381836528, -1.6)",4
veh1.7,11.135202150578722,"(200.35464379961664, -1.6)",0
veh1.8,11.786850885528374,"(88.54044879961106, -1.6)",3
veh1.5,10.641923399427323,"(423.82003007537924, -1.6)",1
veh1.6,13.784796212437156,"(382.29203439608995, -1.6)",4
veh1.7,11.880798962359428,"(212.23544276197606, -1.6)",0
veh1.8,11.760425191436198,"(100.30087399104725, -1.6)",3
