Vehicle_ID,Cluster,SoN
veh1.54,0,31
veh1.54,4,29
veh1.54,1,1744
veh1.55,2,36
veh1.55,3,31
veh1.55,0,29
veh1.55,4,32
veh1.55,1,1707
veh1.56,2,37
veh1.56,3,36
veh1.56,0,36
veh1.56,4,31
veh1.56,1,1655
veh1.57,2,36
veh1.57,3,28
veh1.57,0,27
veh1.57,4,28
veh1.57,1,1638
veh1.58,2,39
veh1.58,3,28
veh1.58,0,36
veh1.58,4,28
veh1.58,1,1585
veh1.59,2,40
veh1.59,3,34
veh1.59,0,30
veh1.59,4,31
veh1.59,1,1541
veh1.60,2,37
veh1.60,3,27
veh1.60,0,31
veh1.60,4,29
veh1.60,1,1511
veh1.61,2,39
veh1.61,3,28
veh1.61,0,29
veh1.61,4,25
veh1.61,1,1473
veh1.62,2,40
veh1.62,3,32
veh1.62,0,26
veh1.62,4,29
veh1.62,1,1427
veh1.63,2,38
veh1.63,3,31
veh1.63,0,30
veh1.63,4,32
veh1.63,1,1382
veh1.64,2,37
veh1.64,3,32
veh1.64,0,36
veh1.64,4,32
veh1.64,1,1337
veh1.65,2,40
veh1.65,3,36
veh1.65,0,36
veh1.65,4,38
veh1.65,1,1286
veh1.66,2,40
veh1.66,3,36
veh1.66,0,34
veh1.66,4,41
veh1.66,1,1244
veh1.67,2,40
veh1.67,3,38
veh1.67,0,37
veh1.67,4,35
veh1.67,1,1204
veh1.68,2,38
veh1.68,3,37
veh1.68,0,31
veh1.68,4,34
veh1.68,1,1173
veh1.69,2,45
veh1.69,3,31
veh1.69,0,35
veh1.69,4,30
veh1.69,1,1129
veh1.70,2,43
veh1.70,3,35
veh1.70,0,26
veh1.70,4,31
veh1.70,1,1089
veh1.71,2,41
veh1.71,3,32
veh1.71,0,31
veh1.71,4,31
veh1.71,1,1045
veh1.72,2,39
veh1.72,3,32
veh1.72,0,35
veh1.72,4,33
veh1.72,1,999
veh1.73,2,39
veh1.73,3,28
veh1.73,0,29
veh1.73,4,34
veh1.73,1,968
veh1.74,2,36
veh1.74,3,37
veh1.74,0,34
veh1.74,4,30
veh1.74,1,921
veh1.75,2,41
veh1.75,3,34
veh1.75,0,30
veh1.75,4,33
veh1.75,1,879
veh1.76,2,37
veh1.76,3,31
veh1.76,0,29
veh1.76,4,33
veh1.76,1,845
veh1.77,2,40
veh1.77,3,33
veh1.77,0,33
veh1.77,4,30
veh1.77,1,798
veh1.78,2,41
veh1.78,3,33
veh1.78,0,30
veh1.78,4,32
veh1.78,1,757
veh1.79,2,36
veh1.79,3,27
veh1.79,0,32
veh1.79,4,28
veh1.79,1,728
veh1.80,2,36
veh1.80,3,32
veh1.80,0,32
veh1.80,4,25
veh1.80,1,686
veh1.81,2,36
veh1.81,3,32
veh1.81,0,29
veh1.81,4,31
veh1.81,1,642
veh1.82,2,34
veh1.82,3,31
veh1.82,0,31
veh1.82,4,28
veh1.82,1,605
veh1.83,2,39
veh1.83,3,32
veh1.83,0,32
veh1.83,4,31
veh1.83,1,557
veh1.84,2,36
veh1.84,3,28
veh1.84,0,27
veh1.84,4,24
veh1.84,1,536
veh1.85,2,39
veh1.85,3,32
veh1.85,0,32
veh1.85,4,28
veh1.85,1,479
veh1.86,2,40
veh1.86,3,30
veh1.86,0,26
veh1.86,4,32
veh1.86,1,442
veh1.87,2,36
veh1.87,3,32
veh1.87,0,28
veh1.87,4,32
veh1.87,1,401
veh1.88,2,36
veh1.88,3,32
veh1.88,0,32
veh1.88,4,31
veh1.88,1,361
veh1.89,2,40
veh1.89,3,32
veh1.89,0,27
veh1.89,4,31
veh1.89,1,321
veh1.90,2,39
veh1.90,3,28
veh1.90,0,31
veh1.90,4,31
veh1.90,1,281
veh1.91,2,39
veh1.91,3,36
veh1.91,0,31
veh1.91,4,35
veh1.91,1,229
veh1.92,2,39
veh1.92,3,39
veh1.92,0,36
veh1.92,4,44
veh1.92,1,172
veh1.93,2,39
veh1.93,3,36
veh1.93,0,36
veh1.93,4,37
veh1.93,1,142
veh1.94,2,40
veh1.94,3,32
veh1.94,0,32
veh1.94,4,37
veh1.94,1,109
veh1.95,2,44
veh1.95,3,35
veh1.95,0,31
veh1.95,4,29
veh1.95,1,70
veh1.96,2,43
veh1.96,3,35
veh1.96,0,29
veh1.96,4,30
veh1.96,1,27
veh1.97,2,40
veh1.97,3,32
veh1.97,0,34
veh1.97,4,10
veh1.98,2,35
veh1.98,3,31
veh1.98,0,9
veh1.99,2,36
veh1.99,3,0
