Vehicle_ID,Cluster,AoN,SoN,SoB,Reputation
veh1.2,4,92,802.6,0.7143094106658358,3.9828294999173433
veh1.3,0,62,796.4,0.8561187109048023,3.78090530220969
veh1.4,2,24,788.6,0.755455868996624,3.1591311169172913
veh1.1,1,116,806.8,0.8251268086890751,4.435511743173969
veh1.2,4,96,802.6,0.7143094106658358,4.032486619104861
veh1.3,0,66,796.4,0.8561187109048023,3.8305624213972074
veh1.4,2,28,788.6,0.755455868996624,3.2087882361048097
veh1.1,1,120,806.8,0.8251268086890751,4.485168862361487
veh1.2,4,100,802.6,0.7143094106658358,4.0821437382923795
veh1.3,0,70,796.4,0.8561187109048023,3.8802195405847257
veh1.4,2,32,788.6,0.755455868996624,3.258445355292328
veh1.1,1,124,806.8,0.8251268086890751,4.534825981549004
veh1.2,4,104,802.6,0.7143094106658358,4.131800857479897
veh1.3,0,74,796.4,0.8561187109048023,3.929876659772244
veh1.4,2,36,788.6,0.755455868996624,3.3081024744798464
veh1.1,1,128,806.8,0.8251268086890751,4.584483100736523
veh1.2,4,108,802.6,0.7143094106658358,4.181457976667415
veh1.3,0,78,796.4,0.8561187109048023,3.9795337789597625
veh1.4,3,40,788.6,0.755455868996624,3.357759593667364
veh1.5,2,0,780.4,0.84274969124589,2.9557272994766173
veh1.1,1,133,806.8,0.8251268086890751,4.646554499720921
veh1.2,4,113,802.6,0.7143094106658358,4.243529375651814
veh1.3,0,83,796.4,0.8561187109048023,4.04160517794416
veh1.4,3,45,788.6,0.755455868996624,3.419830992651762
veh1.5,2,5,780.4,0.84274969124589,3.017798698461015
veh1.1,1,138,806.8,0.8251268086890751,4.708625898705319
veh1.2,4,118,802.6,0.7143094106658358,4.305600774636211
veh1.3,0,88,796.4,0.8561187109048023,4.103676576928558
veh1.4,3,50,788.6,0.755455868996624,3.4819023916361598
veh1.5,2,10,780.4,0.84274969124589,3.0798700974454123
veh1.2,1,122,802.6,0.7143094106658358,4.35525789382373
veh1.3,4,92,796.4,0.8561187109048023,4.153333696116076
veh1.4,3,54,788.6,0.755455868996624,3.531559510823678
veh1.5,2,14,780.4,0.84274969124589,3.1295272166329307
veh1.2,1,126,802.6,0.7143094106658358,4.404915013011248
veh1.3,4,96,796.4,0.8561187109048023,4.202990815303594
veh1.4,3,58,788.6,0.755455868996624,3.5812166300111965
veh1.5,2,18,780.4,0.84274969124589,3.179184335820449
veh1.2,1,130,802.6,0.7143094106658358,4.454572132198766
veh1.3,4,100,796.4,0.8561187109048023,4.252647934491113
veh1.4,3,62,788.6,0.755455868996624,3.630873749198714
veh1.5,2,22,780.4,0.84274969124589,3.2288414550079674
veh1.2,1,134,802.6,0.7143094106658358,4.504229251386285
veh1.3,4,104,796.4,0.8561187109048023,4.302305053678631
veh1.4,3,66,788.6,0.755455868996624,3.6805308683862323
veh1.5,2,26,780.4,0.84274969124589,3.2784985741954853
veh1.2,1,138,802.6,0.7143094106658358,4.553886370573803
veh1.3,4,108,796.4,0.8561187109048023,4.351962172866149
veh1.4,3,70,788.6,0.755455868996624,3.7301879875737507
veh1.5,2,30,780.4,0.84274969124589,3.3281556933830037
veh1.2,1,142,802.6,0.7143094106658358,4.603543489761321
